activity_id,activities,learning_goals
26,Alphabet Hopscotch,Introduce basic counting skills
38,Alphabet Scavenger Hunt,Enhance problem-solving skills and hand-eye coordination
7,Animal Sound Guessing Game,Enhance fine motor skills and spatial awareness
6,Building Blocks Exploration,Enhance fine motor skills
10,Building Structures with Blocks,Reinforce colour recognition through everyday objects
31,Colour Mixing with Water Play,Develop language and sequencing skills through storytelling
9,Colourful Collage Art,Explore primary colours and encourage experimentation
32,Colourful Sensory Bins,Reinforce shape recognition and classification skills
34,Colourful Sorting Bins,Develop size discrimination skills and enhance fine motor skills
19,Counting and Sorting with Toys,Foster curiosity about the environment and develop observation skills
22,Counting with Counting Bears,Introduce and reinforce basic patterning skills
29,Finger Painting,Introduce animal names and sounds
14,Group Building with Building Blocks,Foster self-awareness
36,Mirror Play for Self-Recognition,Introduce basic shapes
5,Music and Movement,Introduce early numeracy skills through a fun scavenger hunt
18,Name Recognition with Name Tags,Reinforce shape recognition and creativity
37,Number Hunt in the Classroom,Introduce and reinforce basic counting and sorting skills
12,Nursery Rhyme Sing-Along,Enhance language development and creativity through storytelling
40,Outdoor Nature Exploration,Encourage observation and appreciation of the environment
21,Outdoor Nature Hunt,Enhance fine motor skills and creativity through block building
28,Outdoor Nature Scavenger Hunt,Reinforce letter recognition through an interactive scavenger hunt
20,Pattern Making with Blocks,Develop hand-eye coordination
4,Play-dough Creations,Introduce letter recognition and gross motor skills
33,Play-dough Letter Creations,Stimulate creativity and storytelling skills with puppet play
16,Play-dough Shape Creations,Foster name recognition and social interaction
25,Puppet Show for Storytelling,Explore colours and develop fine motor skills through art
3,Puppet Theatre for Imagination,Encourage creativity and fine motor skills
8,Puzzles with Large Pieces,Promote language development through storytelling
2,Rhyming Words with Songs,Develop sensory awareness with different textures and colours
35,Sensory Play with Textures,Explore the environment and identify basic objects
23,Shape Collages with Craft Materials,"Promote teamwork, social skills, and creativity through block play"
15,Shape Hunt in the Classroom,Stimulate imagination and listening skills
1,Shape Matching Game,Reinforce shape recognition and encourage creativity
27,Shape Sorting with Blocks,Develop gross motor skills and rhythmic awareness
30,Sorting Colours with Household Items,Reinforce letter recognition and enhance fine motor skills
13,Sorting Objects by Size,Enhance language development through rhythm and melody
39,Story Sequencing with Pictures,Develop tactile awareness
24,Story time with Picture Books,Introduce basic shapes
11,Storytelling with Puppets,Introduce basic colours and sorting skills
17,Water Play with Floating Objects,Develop phonemic awareness through rhyming words and songs
